Key,Id,English(en),Japanese(ja),Latvian(lv),Spanish(es)
W_HAMMER_NAME,10333130752,The ‘Greetings from Grandad’ Hammer,「おじいちゃんからのご挨拶」ハンマー,Āmurs „Sveicieni no vectēva“,El martillo «Saludos del abuelo»
W_AXE_NAME,,The ‘Lumberjack’ Axe,「ランバージャック」斧,„Mežizstrādātāja“ cirvis,El hacha «Lumberjack»
W_AXEtoo_NAME,,The ‘Beard Splitter’ Axe,「ひげ切り」の斧,Cirvis „Bārdas sadalītājs“,Hacha «Cortabarbas»
W_SWORD_NAME,,The “Dragon Slayer – The Loser” Sword,「ドラゴンスレイヤー ― 敗者」の剣,Zobens „Pūķu nogalinātājs – zaudētājs“,La espada «El matador de dragones: el perdedor»
W_SWORDtoo_NAME,,The ‘Sword of Honour’,剣「名誉の刃」,Zobens „Gods”,La espada «Hoja del Honor»
R_RING_NAME,,Stone Heart Ring,ストーンハートリング,Gredzens „Akmens sirds“,Anillo «Corazón de piedra»
R_AMULET_NAME,,Amulet of the Depths,深淵の護符,Dziļumu amulets,Amuleto de las Profundidades
R_HAMMER_NAME,,The lucky hammer,幸運のハンマー,Laimīgais āmurs,El martillo de la suerte
R_FRAGMENT_NAME,,A fragment of a star that fell into the mine,鉱山に落下した星のかけら,"Zvaigznes fragments, kas iekrita raktuvē",Un fragmento de una estrella que cayó en la mina
R_AMULETtoo_NAME,,The Amulet of the Eternal Run,永遠の奔走のお守り,Mūžīgā skrējiena amulets,Amuleto de la Carrera Eterna
R_RINGtoo_NAME,,A miner's ring ,鉱夫の指輪 ,Kalnrača gredzens ,Un anillo de minero 
O_COAL_NAME,,Coal,石炭,Ogles,Carbón
O_COPPER_NAME,,Copper,銅,Varš,Cobre
O_CRYSTAL_NAME,,Crystal,水晶,Kristāls,Cristal
O_DIMOND_NAME,,Dimond,ダイヤモンド,Dimonds,Diamante
O_GOLD_NAME,,Gold,金,Zelts,Oro
O_IRON_NAME,,Iron,鉄,Dzelzs,Hierro
F_BREAD_NAME,,‘Iron’ bread,「アイアン」ブレッド,„Dzelzs“ maize,Pan «de hierro»
F_BEER_NAME,,Honey beer,ハニービール,Medus alus,Cerveza de miel
F_PIE_NAME,,Mushroom pie,マッシュルームパイ,Sēņu pīrāgs,Pastel de setas
F_RABBIT_NAME,,"Roast rabbit, Dwarf-style",ドワーフ風ローストウサギ,Cepts trusis pēc rūķu receptes,"Conejo asado, al estilo enano"
A_HEAD1_NAME,,Old Man Boromir’s Bucket,ボロミール老人のバケツ,Vecā vīra Boromira spainis,El cubo del anciano Boromir
A_HEAD2_NAME,,The Blacksmith’s Brother’s Helmet,鍛冶屋の弟の兜,Kalēja brāļa ķivere,El yelmo del hermano del herrero
A_HEAD3_NAME,,The Thunder Father’s Crown,雷の父の冠,Pērkona tēva kronis,La corona del Padre del Trueno
A_BODY1_NAME,,The Ancestors’ Shirt,先祖のシャツ,Senču krekla,La camisa de los antepasados
A_BODY2_NAME,,The Beer Shield’s Armour,ビール盾の鎧,Alus vairoga bruņas,La armadura del escudo de la cerveza
A_BODY3_NAME,,The Stone Blood’s Cuirass,石の血の胸当て,Akmens asins krūšbruņas,La coraza de la sangre de piedra
A_BODY4_NAME,,The Dragon Spawn’s Breastplate,竜の血を引く者の胸当て,Pūķa pēcnācēja krūšbruņas,La coraza de la prole del dragón
A_BOOTS1_NAME,,‘I Won’t Fall’ Boots,「転ばない」ブーツ,„Es nekrīšu“ zābaki,Las botas «No caeré»
A_BOOTS2_NAME,,Shod Hooves,蹄鉄,Apautas nagi,Las pezuñas herradas
A_BOOTS3_NAME,,Earthquake Boots,地震ブーツ,Zemestrīces zābaki,Las botas del terremoto
O_COIN_NAME,,Coin,コイン,Monēta,Moneda
O_EXP_NAME,,Exp,経験値,Pieredze,Exp
W_HAMMER_DES,,"A huge two-handed hammer. The handle is engraved with the words ‘If you love me, give it a knock’.",巨大な両手ハンマー。柄には「俺を愛してるなら、一撃食らわせてみろ」という言葉が刻まれている。,"Milzīgs divrokas āmurs. Uz roktura iegravēti vārdi: „Ja tu mani mīli, tad uzsit ar to”.","Un enorme martillo de dos manos. En el mango están grabadas las palabras «Si me quieres, dale un golpe»."
W_AXE_DES,,"Lightweight, yet deadly. They say it can settle not only an orc, but also a tavern brawl in a flash.",軽量でありながら、その威力は絶大だ。オークだけでなく、酒場の乱闘も一瞬で収められると言われている。,"Viegls, taču nāvējošs. Stāsta, ka ar to mirklī var atrisināt ne tikai cīņu ar orku, bet arī kautiņu krogā.","Ligero, pero letal. Dicen que puede acabar no solo con un orco, sino también con una pelea de taberna en un santiamén."
W_AXEtoo_DES,,The dwarves show it off to the humans.,ドワーフたちは人間たちにそれを自慢げに見せびらかす。,Rūķi to rāda cilvēkiem.,Los enanos se lo enseñan a los humanos.
W_SWORD_DES,,The blade is covered in nicks and teeth marks. ‘He almost killed a dragon… almost.’,刃には無数の傷や歯型がついている。「あいつ、ドラゴンを殺しかけたんだ……あと一歩でな」,Asmens ir pārklāts ar iecirtumiem un zobu nospiedumiem. „Viņš gandrīz nogalināja pūķi… gandrīz.”,La hoja está llena de mellas y marcas de dientes. «Casi mata a un dragón… casi».
W_SWORDtoo_DES,,"Simple, reliable, a bit on the heavy side.",シンプルで頼りになるが、少々重めだ。,"Vienkāršs, uzticams, nedaudz par smagu.","Sencillo, fiable, un poco pesado."
R_RING_DES,,Makes the wearer a little more stubborn. Sometimes a bit too much.,これを身につけると、持ち主は少し頑固になる。時には、それが度を越してしまうこともある。,"Padara to, kas to valkā, nedaudz spītīgāku. Dažreiz pat pārāk.","Hace que quien lo lleva sea un poco más testarudo. A veces, demasiado."
R_AMULET_DES,,Sometimes it reveals the terrifying depths of a tale rather than dreams.,時には、夢ではなく物語の恐ろしい深淵を露わにすることもある。,"Dažreiz tas atklāj stāsta biedējošās dziļumas, nevis sapņus.",A veces revela las aterradoras profundidades de una historia en lugar de los sueños.
R_HAMMER_DES,,Not a weapon. Just a talisman. Brings good luck… sometimes.,武器ではない。単なるお守りだ。幸運をもたらす……ときもある。,Nav ierocis. Tikai talismans. Nes labu veiksmi… dažreiz.,No es un arma. Solo un talismán. Trae buena suerte… a veces.
R_FRAGMENT_DES,,It glows with a soft blue light. The dwarves are convinced it’s a piece of a real star. The elves call it a ‘meteorite’. The dwarves beat them up.,柔らかな青い光を放っている。ドワーフたちは、これが本物の星のかけらだと確信している。エルフたちはそれを「隕石」と呼ぶ。ドワーフたちは彼らを殴り倒す。,"Tas spīd ar maigu zilu gaismu. Rūķi ir pārliecināti, ka tas ir īsta zvaigznes gabals. Elfi to sauc par “meteorītu”. Rūķi viņus piekauj.",Brilla con una suave luz azul. Los enanos están convencidos de que es un trozo de una estrella real. Los elfos lo llaman «meteorito». Los enanos les dan una paliza.
R_AMULETtoo_DES,,You’ll never tire of running,走り続けることに飽きることはないだろう,Tu nekad nepagursi skriet,Nunca te cansarás de correr.
R_RINGtoo_DES,,Hands work faster.,手はより速く動く。,Rokas strādā ātrāk.,Las manos trabajan más rápido.
O_COAL_DES,,The Black Breath of the Earth,大地の黒い息吹,Zemes melnais elpa,El aliento negro de la Tierra
O_COPPER_DES,,The Blood of the Young Mountain,若き山の血,Jaunā kalna asinis,La sangre de la montaña joven
O_CRYSTAL_DES,,Shards of Magical Ice,魔法の氷の破片,Burvju ledus šķembas,Fragmentos de hielo mágico
